,day,Cooling load kW,date2,Temp,RH,day_of_week,week_number,history_load1,history_load2,history_load3
3,2024-07-04,69788.89912999999,2024-07-04,30.1999999999999,81.0,3,4,67237.41407,64509.19487000001,93508.00935
4,2024-07-05,59315.781820000004,2024-07-05,30.1999999999999,81.0,4,5,69788.89912999999,67237.41407,64509.19487000001
5,2024-07-08,90572.79735,2024-07-08,30.10222222222228,78.32777777777778,0,1,59315.781820000004,69788.89912999999,67237.41407
6,2024-07-09,82097.42975,2024-07-09,30.03777777777775,75.93333333333334,1,2,90572.79735,59315.781820000004,69788.89912999999
7,2024-07-10,72651.72133,2024-07-10,28.672222222222214,85.20555555555555,2,3,82097.42975,90572.79735,59315.781820000004
8,2024-07-11,70928.40299999999,2024-07-11,29.479444444444443,81.8888888888889,3,4,72651.72133,82097.42975,90572.79735
9,2024-07-12,68329.02032000001,2024-07-12,28.70944444444448,87.78333333333332,4,5,70928.40299999999,72651.72133,82097.42975
10,2024-07-15,91025.27222,2024-07-15,28.436111111111067,89.31111111111113,0,1,68329.02032000001,70928.40299999999,72651.72133
11,2024-07-16,79624.71755,2024-07-16,28.527222222222232,88.6388888888889,1,2,91025.27222,68329.02032000001,70928.40299999999
12,2024-07-17,67073.3798,2024-07-17,28.61055555555555,85.25,2,3,79624.71755,91025.27222,68329.02032000001
13,2024-07-18,63045.23925,2024-07-18,28.708333333333314,89.26666666666668,3,4,67073.3798,79624.71755,91025.27222
14,2024-07-19,55747.6829,2024-07-19,27.7722222222222,94.57777777777778,4,5,63045.23925,67073.3798,79624.71755
15,2024-07-22,86576.7504,2024-07-22,30.052777777777766,83.53333333333333,0,1,55747.6829,63045.23925,67073.3798
16,2024-07-23,76570.34805,2024-07-23,30.122777777777802,79.50555555555556,1,2,86576.7504,55747.6829,63045.23925
17,2024-07-24,76535.55513,2024-07-24,29.43000000000004,83.48333333333333,2,3,76570.34805,86576.7504,55747.6829
18,2024-07-25,85238.9013,2024-07-25,30.42055555555555,76.78888888888889,3,4,76535.55513,76570.34805,86576.7504
19,2024-07-26,73883.51355,2024-07-26,29.18388888888888,88.33333333333331,4,5,85238.9013,76535.55513,76570.34805
20,2024-07-29,61643.10787000001,2024-07-29,28.099999999999966,88.08888888888889,0,1,73883.51355,85238.9013,76535.55513
21,2024-07-30,47292.5012,2024-07-30,27.57111111111115,89.50555555555556,1,2,61643.10787000001,73883.51355,85238.9013
22,2024-07-31,44645.21297,2024-07-31,26.71888888888893,93.87777777777778,2,3,47292.5012,61643.10787000001,73883.51355
23,2024-08-01,48970.5244,2024-08-01,29.52055555555555,81.68888888888887,3,4,44645.21297,47292.5012,61643.10787000001
24,2024-08-02,50865.72902,2024-08-02,29.59222222222219,81.73333333333333,4,5,48970.5244,44645.21297,47292.5012
25,2024-08-05,87638.47435,2024-08-05,30.592777777777773,82.11944444444444,0,1,50865.72902,48970.5244,44645.21297
26,2024-08-06,69877.29945,2024-08-06,30.76277777777781,84.37222222222222,1,2,87638.47435,50865.72902,48970.5244
27,2024-08-07,53330.48898,2024-08-07,29.941111111111077,82.96666666666667,2,3,69877.29945,87638.47435,50865.72902
28,2024-08-08,61189.5522,2024-08-08,30.005555555555574,80.18333333333334,3,4,53330.48898,69877.29945,87638.47435
29,2024-08-09,76115.82497999999,2024-08-09,29.597222222222246,79.81111111111113,4,5,61189.5522,53330.48898,69877.29945
30,2024-08-12,87640.57458,2024-08-12,26.985555555555592,91.27222222222224,0,1,76115.82497999999,61189.5522,53330.48898
31,2024-08-13,60547.69267999999,2024-08-13,29.050000000000008,84.02222222222224,1,2,87640.57458,76115.82497999999,61189.5522
32,2024-08-14,58201.0387,2024-08-14,29.422222222222253,83.26666666666667,2,3,60547.69267999999,87640.57458,76115.82497999999
33,2024-08-15,50022.19285,2024-08-15,29.214444444444414,84.85555555555554,3,4,58201.0387,60547.69267999999,87640.57458
34,2024-08-16,37211.53088,2024-08-16,28.11222222222223,82.6388888888889,4,5,50022.19285,58201.0387,60547.69267999999
35,2024-08-19,64129.96007000001,2024-08-19,27.793888888888898,88.03333333333332,0,1,37211.53088,50022.19285,58201.0387
36,2024-08-20,61640.70138,2024-08-20,26.54999999999998,91.03333333333332,1,2,64129.96007000001,37211.53088,50022.19285
37,2024-08-21,48805.938180000005,2024-08-21,27.54722222222224,84.67222222222222,2,3,61640.70138,64129.96007000001,37211.53088
38,2024-08-22,41210.66938,2024-08-22,28.30166666666665,88.57777777777778,3,4,48805.938180000005,61640.70138,64129.96007000001
39,2024-08-23,43159.80725,2024-08-23,28.69611111111111,84.73888888888891,4,5,41210.66938,48805.938180000005,61640.70138
