date2,Temp,RH
2024-06-01,27.639444444444457,89.12777777777778
2024-06-02,26.97222222222221,89.43333333333334
2024-06-03,25.161111111111087,91.01666666666667
2024-06-04,24.042777777777783,88.2
2024-06-05,23.965555555555525,90.11666666666666
2024-06-06,26.026666666666664,89.78333333333333
2024-06-07,25.396111111111093,92.34444444444445
2024-06-08,25.78000000000003,90.03333333333333
2024-06-09,26.47944444444443,94.43333333333334
2024-06-10,28.139444444444457,88.36111111111111
2024-06-11,28.983333333333363,85.10555555555555
2024-06-12,29.30277777777782,85.22222222222223
2024-06-13,29.523333333333344,87.32222222222222
2024-06-14,29.718888888888863,83.22222222222223
2024-06-15,27.388333333333307,86.1
2024-06-16,27.83888888888889,91.8
2024-06-17,29.78055555555555,80.40555555555555
2024-06-18,29.669999999999977,82.88888888888889
2024-06-19,29.236666666666675,84.28888888888889
2024-06-20,28.453333333333315,87.73333333333333
2024-06-21,30.249444444444443,79.31666666666666
2024-06-22,30.1999999999999,81.0
2024-06-23,30.1999999999999,81.0
2024-06-24,30.1999999999999,81.0
2024-06-25,30.1999999999999,81.0
2024-06-26,30.1999999999999,81.0
2024-06-27,30.1999999999999,81.0
2024-06-28,30.1999999999999,81.0
2024-06-29,30.1999999999999,81.0
2024-06-30,30.1999999999999,81.0
2024-07-01,30.1999999999999,81.0
2024-07-02,30.1999999999999,81.0
2024-07-03,30.1999999999999,81.0
2024-07-04,30.1999999999999,81.0
2024-07-05,30.1999999999999,81.0
2024-07-06,30.1999999999999,81.0
2024-07-07,30.774444444444434,78.56111111111112
2024-07-08,30.102222222222277,78.32777777777778
2024-07-09,30.037777777777755,75.93333333333334
2024-07-10,28.672222222222217,85.20555555555555
2024-07-11,29.479444444444436,81.88888888888889
2024-07-12,28.70944444444448,87.78333333333333
2024-07-13,28.95444444444444,87.67777777777778
2024-07-14,30.393888888888878,81.25555555555556
2024-07-15,28.436111111111067,89.31111111111112
2024-07-16,28.527222222222232,88.63888888888889
2024-07-17,28.610555555555543,85.25
2024-07-18,28.708333333333314,89.26666666666667
2024-07-19,27.7722222222222,94.57777777777778
2024-07-20,29.54277777777782,88.42777777777778
2024-07-21,29.900555555555556,83.9888888888889
2024-07-22,30.052777777777774,83.53333333333333
2024-07-23,30.1227777777778,79.50555555555556
2024-07-24,29.430000000000042,83.48333333333333
2024-07-25,30.420555555555545,76.78888888888889
2024-07-26,29.183888888888877,88.33333333333333
2024-07-27,29.170000000000034,87.71111111111111
2024-07-28,26.540000000000024,96.38888888888889
2024-07-29,28.099999999999973,88.08888888888889
2024-07-30,27.571111111111147,89.50555555555556
2024-07-31,26.718888888888934,93.87777777777778
2024-08-01,29.520555555555543,81.68888888888888
2024-08-02,29.59222222222219,81.73333333333333
2024-08-03,29.48055555555555,81.54444444444445
2024-08-04,29.124444444444446,81.55
2024-08-05,30.592777777777776,82.11944444444444
2024-08-06,30.762777777777814,84.37222222222222
2024-08-07,29.941111111111077,82.96666666666667
2024-08-08,30.00555555555557,80.18333333333334
2024-08-09,29.597222222222243,79.81111111111112
2024-08-10,30.014444444444447,82.90555555555555
2024-08-11,29.931111111111118,83.92222222222222
2024-08-12,26.985555555555592,91.27222222222223
2024-08-13,29.050000000000015,84.02222222222223
2024-08-14,29.422222222222253,83.26666666666667
2024-08-15,29.214444444444418,84.85555555555555
2024-08-16,28.112222222222222,82.63888888888889
2024-08-17,25.474999999999984,96.04444444444445
2024-08-18,26.51111111111113,93.45555555555555
2024-08-19,27.7938888888889,88.03333333333333
2024-08-20,26.54999999999998,91.03333333333333
2024-08-21,27.54722222222224,84.67222222222222
2024-08-22,28.30166666666665,88.57777777777778
2024-08-23,28.696111111111108,84.7388888888889
2024-08-24,28.924444444444426,84.65
2024-08-25,29.016666666666673,78.52222222222223
